gene,pvalue,padj,logFC
LOC109612215,0.055016686,0.99569125,-9.81E-06
LOC101895172,0.8380197,0.99569125,-2.34E-06
LOC101895517,0.79399874,0.99569125,7.60E-05
LOC101895345,0.569510481,0.99569125,3.67E-06
LOC109612223,0.880303547,0.997763859,-1.92E-07
LOC101895870,0.684041261,0.99569125,9.38E-06
LOC101896042,0.508722687,0.99569125,2.80E-06
LOC101896203,0.400948046,0.99569125,-2.72E-06
LOC101896554,0.851018313,0.99569125,-1.06E-06
LOC101896857,0.145470113,0.99569125,2.79E-06
LOC101897029,0.253190591,0.99569125,-2.05E-06
LOC101897205,0.110102544,0.99569125,-2.68E-06
LOC101897385,0.836650116,0.99569125,-1.66E-07
LOC105261698,0.335691346,0.99569125,-7.94E-07
LOC101898808,0.347467904,0.99569125,8.74E-06
LOC101898235,0.878877551,0.997763859,1.34E-06
LOC101898983,0.944846871,0.999855404,-4.31E-07
LOC101899157,0.872600727,0.99769391,-1.52E-06
LOC101899333,0.629877768,0.99569125,-4.50E-07
LOC101899664,0.864825111,0.997275656,2.00E-07
LOC101900177,0.095892686,0.99569125,-1.54E-05
LOC101901166,0.73544976,0.99569125,2.12E-07
LOC101901337,0.193934785,0.99569125,3.33E-06
LOC101900636,0.641377197,0.99569125,-1.37E-05
LOC101900993,0.259847094,0.99569125,-1.76E-06
LOC101900816,0.375973766,0.99569125,-1.43E-06
LOC101901500,0.260535612,0.99569125,-3.07E-06
LOC109612266,0.8853592,0.997763859,4.32E-07
LOC101887315,0.134264784,0.99569125,4.12E-06
LOC101887481,0.517121494,0.99569125,2.28E-06
LOC105261710,0.840418369,0.99569125,-1.95E-07
LOC101888565,0.743306577,0.99569125,-3.40E-07
LOC101887657,0.858741269,0.99569125,-1.03E-06
LOC101887828,0.77489763,0.99569125,-1.64E-06
LOC101888230,0.376396823,0.99569125,-4.04E-06
LOC101888398,0.288418112,0.99569125,-3.26E-06
LOC109612283,0.072630243,0.99569125,2.59E-06
LOC101888743,0.821720792,0.99569125,-5.10E-06
LOC109612292,0.472231271,0.99569125,1.61E-06
LOC101889391,0.665721652,0.99569125,1.86E-06
LOC101889842,0.169316718,0.99569125,4.88E-06
LOC101890012,0.319913171,0.99569125,5.19E-06
LOC109612301,0.058045096,0.99569125,7.37E-06
LOC101890570,0.280197483,0.99569125,3.22E-05
LOC101892026,0.716224726,0.99569125,-1.17E-06
LOC109612357,0.462100413,0.99569125,-1.02E-06
LOC101892535,0.836972363,0.99569125,-4.41E-06
LOC101893056,0.222384914,0.99569125,9.26E-06
LOC109612370,0.711647778,0.99569125,1.49E-06
